0.49389,0.49389,0.49389,0.49389
0,0,0,0
-20,-20,-20,-20
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.49248,0.49248,0.49248,0.49248
0,0,0,0
-19,-19,-19,-19
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.49257,0.49257,0.49257,0.49257
0,0,0,0
-18,-18,-18,-18
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.49195,0.49195,0.49195,0.49195
0,0,0,0
-17,-17,-17,-17
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.49077,0.49077,0.49077,0.49077
0,0,0,0
-16,-16,-16,-16
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.48902,0.48902,0.48902,0.48902
0,0,0,0
-15,-15,-15,-15
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.48729,0.48729,0.48729,0.48729
0,0,0,0
-14,-14,-14,-14
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.48426,0.48426,0.48426,0.48426
0,0,0,0
-13,-13,-13,-13
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.47945,0.47945,0.47945,0.47945
0,0,0,0
-12,-12,-12,-12
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.47406,0.47406,0.47406,0.47406
0,0,0,0
-11,-11,-11,-11
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.4665,0.4665,0.4665,0.4665
0,0,0,0
-10,-10,-10,-10
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.4582,0.4582,0.4582,0.4582
0,0,0,0
-9,-9,-9,-9
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.4467,0.4467,0.4467,0.4467
0,0,0,0
-8,-8,-8,-8
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.42945,0.42945,0.42945,0.42945
10,10,10,10
-7,-7,-7,-7
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.38257,0.38257,0.38257,0.38257
27.5,27.5,27.5,27.5
-6,-6,-6,-6
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.29795,0.29795,0.29795,0.29795
40,40,40,40
-5,-5,-5,-5
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.15788,0.15788,0.15788,0.15788
52.5,52.5,52.5,52.5
-4,-4,-4,-4
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049438,0.049438,0.049438,0.049438
90,90,90,90
-3,-3,-3,-3
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049418,0.049418,0.049418,0.049418
90,90,90,90
-2,-2,-2,-2
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049452,0.049452,0.049452,0.049452
95,95,95,95
-1,-1,-1,-1
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049351,0.049351,0.049351,0.049351
95,95,95,95
0,0,0,0
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049384,0.049384,0.049384,0.049384
95,95,95,95
1,1,1,1
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049398,0.049398,0.049398,0.049398
95,95,95,95
2,2,2,2
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049378,0.049378,0.049378,0.049378
95,95,95,95
3,3,3,3
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.049438,0.049438,0.049438,0.049438
95,95,95,95
4,4,4,4
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.024704,0.024704,0.024704,0.024704
97.5,97.5,97.5,97.5
5,5,5,5
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.024987,0.024987,0.024987,0.024987
97.5,97.5,97.5,97.5
6,6,6,6
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
7,7,7,7
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
8,8,8,8
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
9,9,9,9
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
10,10,10,10
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
11,11,11,11
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
100,100,100,100
12,12,12,12
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012426,0.012426,0.012426,0.012426
97.5,97.5,97.5,97.5
13,13,13,13
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012191,0.012191,0.012191,0.012191
97.5,97.5,97.5,97.5
14,14,14,14
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012382,0.012382,0.012382,0.012382
97.5,97.5,97.5,97.5
15,15,15,15
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012581,0.012581,0.012581,0.012581
97.5,97.5,97.5,97.5
16,16,16,16
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012416,0.012416,0.012416,0.012416
97.5,97.5,97.5,97.5
17,17,17,17
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012402,0.012402,0.012402,0.012402
97.5,97.5,97.5,97.5
18,18,18,18
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012305,0.012305,0.012305,0.012305
97.5,97.5,97.5,97.5
19,19,19,19
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012164,0.012164,0.012164,0.012164
97.5,97.5,97.5,97.5
20,20,20,20
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012275,0.012275,0.012275,0.012275
97.5,97.5,97.5,97.5
21,21,21,21
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.01214,0.01214,0.01214,0.01214
97.5,97.5,97.5,97.5
22,22,22,22
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012281,0.012281,0.012281,0.012281
97.5,97.5,97.5,97.5
23,23,23,23
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012322,0.012322,0.012322,0.012322
97.5,97.5,97.5,97.5
24,24,24,24
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012382,0.012382,0.012382,0.012382
97.5,97.5,97.5,97.5
25,25,25,25
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012345,0.012345,0.012345,0.012345
97.5,97.5,97.5,97.5
26,26,26,26
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012261,0.012261,0.012261,0.012261
97.5,97.5,97.5,97.5
27,27,27,27
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.01216,0.01216,0.01216,0.01216
97.5,97.5,97.5,97.5
28,28,28,28
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012369,0.012369,0.012369,0.012369
97.5,97.5,97.5,97.5
29,29,29,29
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.012258,0.012258,0.012258,0.012258
97.5,97.5,97.5,97.5
30,30,30,30
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0.49441,0.49441,0.49441,0.49441
0,0,0,0
-20,-20,-20,-20
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0.49266,0.49266,0.49266,0.49266
0,0,0,0
-19,-19,-19,-19
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0.49014,0.49014,0.49014,0.49014
0,0,0,0
