0.45908,0.45908,0.45908,0.45908,0.45908,0.45908
0,0,0,0,0,0
-10,-10,-10,-10,-10,-10
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.4506,0.4506,0.4506,0.4506,0.4506,0.4506
0,0,0,0,0,0
-9,-9,-9,-9,-9,-9
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.44033,0.44033,0.44033,0.44033,0.44033,0.44033
0,0,0,0,0,0
-8,-8,-8,-8,-8,-8
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.42876,0.42876,0.42876,0.42876,0.42876,0.42876
0,0,0,0,0,0
-7,-7,-7,-7,-7,-7
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.41525,0.41525,0.41525,0.41525,0.41525,0.41525
8.7672e+05,8.7672e+05,8.7672e+05,8.7672e+05,8.7672e+05,8.7672e+05
-6,-6,-6,-6,-6,-6
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.37891,0.37891,0.37891,0.37891,0.37891,0.37891
1.4028e+06,1.4028e+06,1.4028e+06,1.4028e+06,1.4028e+06,1.4028e+06
-5,-5,-5,-5,-5,-5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.35485,0.35485,0.35485,0.35485,0.35485,0.35485
1.4904e+06,1.4904e+06,1.4904e+06,1.4904e+06,1.4904e+06,1.4904e+06
-4,-4,-4,-4,-4,-4
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.2652,0.2652,0.2652,0.2652,0.2652,0.2652
2.3087e+06,2.3087e+06,2.3087e+06,2.3087e+06,2.3087e+06,2.3087e+06
-3,-3,-3,-3,-3,-3
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.23957,0.23957,0.23957,0.23957,0.23957,0.23957
2.3379e+06,2.3379e+06,2.3379e+06,2.3379e+06,2.3379e+06,2.3379e+06
-2,-2,-2,-2,-2,-2
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.2348,0.2348,0.2348,0.2348,0.2348,0.2348
2.3379e+06,2.3379e+06,2.3379e+06,2.3379e+06,2.3379e+06,2.3379e+06
-1,-1,-1,-1,-1,-1
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0.034282,0.034282,0.034282,0.034282,0.034282,0.034282
4.2667e+06,4.2667e+06,4.2667e+06,4.2667e+06,4.2667e+06,4.2667e+06
0,0,0,0,0,0
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
1,1,1,1,1,1
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
2,2,2,2,2,2
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
3,3,3,3,3,3
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
4,4,4,4,4,4
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
5,5,5,5,5,5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
6,6,6,6,6,6
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
7,7,7,7,7,7
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
8,8,8,8,8,8
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06,4.6758e+06
9,9,9,9,9,9
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
2,2,2,2,2,2
0,0,0,0,0,0
