0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
20,20,20,20
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
21,21,21,21
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
22,22,22,22
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
23,23,23,23
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
24,24,24,24
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
25,25,25,25
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
26,26,26,26
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
27,27,27,27
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
28,28,28,28
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
29,29,29,29
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
3.1142e+06,3.1142e+06,3.1142e+06,3.1142e+06
30,30,30,30
0.11719,0.11719,0.11719,0.11719
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
20,20,20,20
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
21,21,21,21
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
22,22,22,22
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
23,23,23,23
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
24,24,24,24
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
25,25,25,25
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
26,26,26,26
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
27,27,27,27
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
28,28,28,28
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
29,29,29,29
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
30,30,30,30
0.23438,0.23438,0.23438,0.23438
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
20,20,20,20
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
21,21,21,21
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
22,22,22,22
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
23,23,23,23
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
24,24,24,24
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
25,25,25,25
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
26,26,26,26
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
27,27,27,27
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
28,28,28,28
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
29,29,29,29
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
7.7069e+06,7.7069e+06,7.7069e+06,7.7069e+06
30,30,30,30
0.29297,0.29297,0.29297,0.29297
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
20,20,20,20
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
21,21,21,21
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
22,22,22,22
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
23,23,23,23
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
24,24,24,24
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
25,25,25,25
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
26,26,26,26
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
27,27,27,27
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
28,28,28,28
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
29,29,29,29
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.0001e+07,1.0001e+07,1.0001e+07,1.0001e+07
30,30,30,30
0.38086,0.38086,0.38086,0.38086
1,1,1,1
0,0,0,0
1.2463e+07,1.2463e+07,1.2463e+07,1.2463e+07
20,20,20,20
0.47852,0.47852,0.47852,0.47852
1,1,1,1
0,0,0,0
