0.45955,0.45955,0.45955,0.45955,0.45955,0.45955,0.45955,0.45955
0,0,0,0,0,0,0,0
-10,-10,-10,-10,-10,-10,-10,-10
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.45229,0.45229,0.45229,0.45229,0.45229,0.45229,0.45229,0.45229
0,0,0,0,0,0,0,0
-9,-9,-9,-9,-9,-9,-9,-9
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.44345,0.44345,0.44345,0.44345,0.44345,0.44345,0.44345,0.44345
0,0,0,0,0,0,0,0
-8,-8,-8,-8,-8,-8,-8,-8
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.43343,0.43343,0.43343,0.43343,0.43343,0.43343,0.43343,0.43343
0,0,0,0,0,0,0,0
-7,-7,-7,-7,-7,-7,-7,-7
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.42305,0.42305,0.42305,0.42305,0.42305,0.42305,0.42305,0.42305
0,0,0,0,0,0,0,0
-6,-6,-6,-6,-6,-6,-6,-6
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.41161,0.41161,0.41161,0.41161,0.41161,0.41161,0.41161,0.41161
8.9608e+05,8.9608e+05,8.9608e+05,8.9608e+05,8.9608e+05,8.9608e+05,8.9608e+05,8.9608e+05
-5,-5,-5,-5,-5,-5,-5,-5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.40433,0.40433,0.40433,0.40433,0.40433,0.40433,0.40433,0.40433
1.5974e+06,1.5974e+06,1.5974e+06,1.5974e+06,1.5974e+06,1.5974e+06,1.5974e+06,1.5974e+06
-4,-4,-4,-4,-4,-4,-4,-4
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.35985,0.35985,0.35985,0.35985,0.35985,0.35985,0.35985,0.35985
1.8701e+06,1.8701e+06,1.8701e+06,1.8701e+06,1.8701e+06,1.8701e+06,1.8701e+06,1.8701e+06
-3,-3,-3,-3,-3,-3,-3,-3
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.31854,0.31854,0.31854,0.31854,0.31854,0.31854,0.31854,0.31854
2.6882e+06,2.6882e+06,2.6882e+06,2.6882e+06,2.6882e+06,2.6882e+06,2.6882e+06,2.6882e+06
-2,-2,-2,-2,-2,-2,-2,-2
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.26052,0.26052,0.26052,0.26052,0.26052,0.26052,0.26052,0.26052
3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06
-1,-1,-1,-1,-1,-1,-1,-1
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.23962,0.23962,0.23962,0.23962,0.23962,0.23962,0.23962,0.23962
3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06,3.1168e+06
0,0,0,0,0,0,0,0
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0.23478,0.23478,0.23478,0.23478,0.23478,0.23478,0.23478,0.23478
