0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
10,10,10,10,10,10,10,10
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
11,11,11,11,11,11,11,11
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
12,12,12,12,12,12,12,12
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
13,13,13,13,13,13,13,13
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06,6.2336e+06
13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719,0.11719
3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0
