0.47007,0.47007
0,0
-20,-20
0.11719,0.11719
0,0
0.46406,0.46406
0,0
-19,-19
0.11719,0.11719
0,0
0.44128,0.44128
0,0
-18,-18
0.11719,0.11719
0,0
0.42578,0.42578
20,20
-17,-17
0.11719,0.11719
0,0
0.3708,0.3708
30,30
-16,-16
0.11719,0.11719
0,0
0.29077,0.29077
40,40
-15,-15
0.11719,0.11719
0,0
0.21177,0.21177
45,45
-14,-14
0.11719,0.11719
0,0
0,0
100,100
-13,-13
0.11719,0.11719
0,0
0,0
100,100
-12,-12
0.11719,0.11719
0,0
0,0
100,100
-11,-11
0.11719,0.11719
0,0
0,0
100,100
-10,-10
0.11719,0.11719
0,0
0,0
100,100
-9,-9
0.11719,0.11719
0,0
0,0
100,100
-8,-8
0.11719,0.11719
0,0
0,0
100,100
-7,-7
0.11719,0.11719
0,0
0,0
100,100
-6,-6
0.11719,0.11719
0,0
0,0
100,100
-5,-5
0.11719,0.11719
0,0
0,0
100,100
-4,-4
0.11719,0.11719
0,0
0,0
100,100
-3,-3
0.11719,0.11719
0,0
0,0
100,100
-2,-2
0.11719,0.11719
0,0
0,0
100,100
-1,-1
0.11719,0.11719
0,0
0,0
100,100
0,0
0.11719,0.11719
0,0
0,0
100,100
1,1
0.11719,0.11719
0,0
0,0
100,100
2,2
0.11719,0.11719
0,0
0,0
100,100
3,3
0.11719,0.11719
0,0
0,0
100,100
4,4
0.11719,0.11719
0,0
0,0
100,100
5,5
0.11719,0.11719
0,0
0,0
100,100
6,6
0.11719,0.11719
0,0
0,0
100,100
7,7
0.11719,0.11719
0,0
0,0
100,100
8,8
0.11719,0.11719
0,0
0,0
100,100
9,9
0.11719,0.11719
0,0
0,0
100,100
10,10
0.11719,0.11719
0,0
0,0
100,100
11,11
0.11719,0.11719
0,0
0,0
100,100
12,12
0.11719,0.11719
0,0
0,0
100,100
13,13
0.11719,0.11719
0,0
0,0
100,100
14,14
0.11719,0.11719
0,0
0,0
100,100
15,15
0.11719,0.11719
0,0
0,0
100,100
16,16
0.11719,0.11719
0,0
0,0
100,100
17,17
0.11719,0.11719
0,0
0,0
100,100
18,18
0.11719,0.11719
0,0
0,0
100,100
19,19
0.11719,0.11719
0,0
0,0
100,100
20,20
0.11719,0.11719
0,0
0.47477,0.47477
0,0
-20,-20
0.23438,0.23438
0,0
0.46938,0.46938
0,0
-19,-19
0.23438,0.23438
0,0
0.46264,0.46264
0,0
-18,-18
0.23438,0.23438
0,0
0.44815,0.44815
0,0
-17,-17
0.23438,0.23438
0,0
0.43733,0.43733
0,0
-16,-16
0.23438,0.23438
0,0
0.42176,0.42176
10,10
-15,-15
0.23438,0.23438
0,0
0.39647,0.39647
22.5,22.5
-14,-14
0.23438,0.23438
0,0
0.32211,0.32211
40,40
-13,-13
0.23438,0.23438
0,0
0.23646,0.23646
40,40
-12,-12
0.23438,0.23438
0,0
0.1147,0.1147
65,65
-11,-11
0.23438,0.23438
0,0
0,0
100,100
-10,-10
0.23438,0.23438
0,0
0,0
100,100
-9,-9
0.23438,0.23438
0,0
0,0
100,100
-8,-8
0.23438,0.23438
0,0
0,0
100,100
-7,-7
0.23438,0.23438
0,0
0,0
100,100
-6,-6
0.23438,0.23438
0,0
0,0
100,100
-5,-5
0.23438,0.23438
0,0
0,0
100,100
-4,-4
0.23438,0.23438
0,0
0,0
100,100
-3,-3
0.23438,0.23438
0,0
0,0
100,100
-2,-2
0.23438,0.23438
0,0
0,0
100,100
-1,-1
0.23438,0.23438
0,0
0,0
100,100
0,0
0.23438,0.23438
0,0
0,0
100,100
1,1
0.23438,0.23438
0,0
0,0
100,100
2,2
0.23438,0.23438
0,0
0,0
100,100
3,3
0.23438,0.23438
0,0
0,0
100,100
4,4
0.23438,0.23438
0,0
0,0
100,100
5,5
0.23438,0.23438
0,0
0,0
100,100
6,6
0.23438,0.23438
0,0
0,0
100,100
7,7
0.23438,0.23438
0,0
0,0
100,100
8,8
0.23438,0.23438
0,0
0,0
100,100
9,9
0.23438,0.23438
0,0
0,0
100,100
10,10
0.23438,0.23438
0,0
0,0
100,100
11,11
0.23438,0.23438
0,0
0,0
100,100
12,12
0.23438,0.23438
0,0
0,0
100,100
13,13
0.23438,0.23438
0,0
0,0
100,100
14,14
0.23438,0.23438
0,0
0,0
100,100
15,15
0.23438,0.23438
0,0
0,0
100,100
16,16
0.23438,0.23438
0,0
0,0
100,100
17,17
0.23438,0.23438
0,0
0,0
100,100
18,18
0.23438,0.23438
0,0
0,0
100,100
19,19
0.23438,0.23438
0,0
0,0
100,100
20,20
0.23438,0.23438
0,0
0.47479,0.47479
0,0
-20,-20
0.29297,0.29297
0,0
0.4691,0.4691
0,0
-19,-19
0.29297,0.29297
0,0
0.46247,0.46247
0,0
-18,-18
0.29297,0.29297
0,0
0.44493,0.44493
0,0
-17,-17
0.29297,0.29297
0,0
0.43482,0.43482
0,0
-16,-16
0.29297,0.29297
0,0
0.42124,0.42124
0,0
-15,-15
0.29297,0.29297
0,0
0.4064,0.4064
10,10
-14,-14
0.29297,0.29297
0,0
0.38883,0.38883
20,20
-13,-13
0.29297,0.29297
0,0
0.30857,0.30857
40,40
-12,-12
0.29297,0.29297
0,0
0.24558,0.24558
40,40
-11,-11
0.29297,0.29297
0,0
0.15476,0.15476
55,55
-10,-10
0.29297,0.29297
0,0
0.012522,0.012522
97.5,97.5
-9,-9
0.29297,0.29297
0,0
0,0
100,100
-8,-8
